Player	Pos	Squad	Gls
Carlos-Bonet	DFMF	py Paraguay	0
Riadh-Bouazizi	MF	tn Tunisia	0
Alioum-Boukar	GK	cm Cameroon	0
Ali-Boumnijel	GK	tn Tunisia	0
Wayne-Bridge	DF	eng England	0
Steven-Bryce	MF	cr Costa Rica	0
Delron-Buckley	FWMF	za South Africa	0
Gianluigi-Buffon	GK	it Italy	0
Spasoje-Bulajic	DF	si Slovenia	0
Okan-Buruk	MF	tr Turkey	0
Nicky-Butt	DFMF	eng England	0
Kasper-Bogelund	DF	dk Denmark	0
Gabriel-Caballero	FWMF	mx Mexico	0
Cafu	DF	br Brazil	0
Souleymane-Camara	FW	sn Senegal	0
Vincent-Candela	DFMF	fr France	0
Denis-Caniza	DF	py Paraguay	0
Fabio-Cannavaro	DF	it Italy	0
Capucho	MF	pt Portugal	0
Jose-Cardozo	FW	py Paraguay	0
Fabian-Carini	GK	uy Uruguay	0
Juan-Carlos-Franco	MF	py Paraguay	0
Salvador-Carmona	DF	mx Mexico	0
Bradley-Carnell	DFMF	za South Africa	0
Lee-Carsley	MF	ie Republic of Ireland	0
Iker-Casillas	GK	es Spain	0
Carlos-Castro-Mora	DFMF	cr Costa Rica	0
Omer-Catkic	GK	tr Turkey	0
Pablo-Cavallero	GK	ar Argentina	0
Ales-Ceh	MF	si Slovenia	0
Nastja-Ceh	MF	si Slovenia	0
Walter-Centeno	MF	cr Costa Rica	0
Julio-Cesar-Caceres	DF	py Paraguay	0
Cleber-Chala	MF	ec Ecuador	0
Jose-Chamot	DF	ar Argentina	0
Yang-Chen	FWMF	cn China PR	0
Wu-Chengying	DF	cn China PR	0
Justice-Christopher	MF	ng Nigeria	0
Lee-Chun-soo	FWMF	kr Korea Republic	0
Aliou-Cisse	DFMF	sn Senegal	0
Djibril-Cisse	FW	fr France	0
Jose-Clayton	DF	tn Tunisia	0
Francesco-Coco	DF	it Italy	0
Andy-Cole	FW	eng England	0
Ashley-Cole	DF	eng England	0
Joe-Cole	MF	eng England	0
Ferdinand-Coly	DF	sn Senegal	0
Sergio-Conceicao	MF	pt Portugal	0
David-Connolly	FW	ie Republic of Ireland	0
Jorge-Costa	DF	pt Portugal	0
Fernando-Couto	DF	pt Portugal	0
Kenny-Cunningham	DF	ie Republic of Ireland	0
Mladen-Dabanovic	GK	si Slovenia	0
Omar-Daf	DF	sn Senegal	0
Glen-De-Boeck	DF	be Belgium	0
Geert-De-Vlieger	GK	be Belgium	0
Mohamed-Al-Deayea	GK	sa Saudi Arabia	0
Eric-Deflandre	DF	be Belgium	0
Denilson	MF	br Brazil	0
Marcel-Desailly	DFMF	fr France	0
Luigi-Di-Biagio	MF	it Italy	0
Angelo-Di-Livio	DFMF	it Italy	0
Lamine-Diatta	DF	sn Senegal	0
Youri-Djorkaeff	FWMF	fr France	0
Ahmed-Dokhi	DF	sa Saudi Arabia	0
Cristiano-Doni	MF	it Italy	0
Abdullah-Jumaan-Al-Dosari	FW	sa Saudi Arabia	0
Khamis-Al-Dosari	MF	sa Saudi Arabia	0
Obeid-Al-Dosari	DFFW	sa Saudi Arabia	0
Cha-Du-ri	DFMF	kr Korea Republic	0
Jerzy-Dudek	GK	pl Poland	0
Christophe-Dugarry	FWMF	fr France	0
Kieron-Dyer	MF	eng England	0
Edilson	FW	br Brazil	0
Luis-Enrique	FWMF	es Spain	0
Vincent-Enyeama	GK	ng Nigeria	0
Arif-Erdem	FW	tr Turkey	0
Amdy-Faye	DFMF	sn Senegal	0
Luis-Figo	FWMF	pt Portugal	0
Steve-Finnan	DF	ie Republic of Ireland	0
Marc-Vivien-Foe	MF	cm Cameroon	0
Rolando-Fonseca	FW	cr Costa Rica	0
Robbie-Fowler	FW	eng England	0
Jose-Francisco-Cevallos	GK	ec Ecuador	0
Nuno-Frechaut	DFMF	pt Portugal	0
Brad-Friedel	GK	us United States	0
Torsten-Frings	MF	de Germany	0
Takashi-Fukunishi	MF	jp Japan	0
Hassen-Gabsi	FWMF	tn Tunisia	0
Sasa-Gajser	MF	si Slovenia	0
Marinko-Galic	DF	si Slovenia	0
Carlos-Gamarra	DF	py Paraguay	0
Alberto-Garcia-Aspe	MF	mx Mexico	0
Rafael-Garcia-Torres	MF	mx Mexico	0
Pablo-Garcia	DFMF	uy Uruguay	0
Gennaro-Gattuso	MF	it Italy	0
Diego-Gavilan	DFMF	py Paraguay	0
Yu-Genwei	FWMF	cn China PR	0
Geremi	DFMF	cm Cameroon	0
Kaies-Ghodhbane	MF	tn Tunisia	0
Shay-Given	GK	ie Republic of Ireland	0
Nuno-Gomes	FW	pt Portugal	0
Kily-Gonzalez	FWMF	ar Argentina	0
Bart-Goor	MF	be Belgium	0
Thomas-Gravesen	MF	dk Denmark	0
Jesper-Gronkjaer	FWMF	dk Denmark	0
Raul-Guerron	DFMF	ec Ecuador	0
Gianni-Guigou	MF	uy Uruguay	0
Arkadiusz-Glowacki	DF	pl Poland	0
El-Hadji-Diouf	FWMF	sn Senegal	0
Hao-Haidong	FW	cn China PR	0
Tomasz-Hajto	DF	pl Poland	0
Dietmar-Hamann	MF	de Germany	0
Owen-Hargreaves	MF	eng England	0
Ian-Harte	DF	ie Republic of Ireland	0
Toshihiro-Hattori	DFMF	jp Japan	0
Tayfur-Havutcu	MF	tr Turkey	0
Magnus-Hedman	GK	se Sweden	0
Jan-Heintze	DF	dk Denmark	0
Frankie-Hejduk	DFMF	us United States	0
Ivan-Helguera	DFMF	es Spain	0
Thomas-Helveg	DF	dk Denmark	0
Rene-Henriksen	DF	dk Denmark	0
Thierry-Henry	FW	fr France	0
Luis-Hernandez	FW	mx Mexico	0
Qi-Hong	MF	cn China PR	0
Ivan-Hurtado	DF	ec Ecuador	0
Zlatan-Ibrahimovic	FW	se Sweden	0
Daisuke-Ichikawa	DFMF	jp Japan	0
Pius-Ikedia	MF	ng Nigeria	0
Filippo-Inzaghi	FW	it Italy	0
Pierre-Issa	DF	za South Africa	0
Mark-Iuliano	DF	it Italy	0
Marat-Izmailov	MF	ru Russia	0
Muzzy-Izzet	MF	tr Turkey	0
Sami-Al-Jaber	FW	sa Saudi Arabia	0
Mohammed-Al-Jahani	DF	sa Saudi Arabia	0
Radhi-Jaidi	DF	tn Tunisia	0
Andreas-Jakobsson	DFMF	se Sweden	0
Robert-Jarni	DFFW	hr Croatia	0
Ziad-Jaziri	FW	tn Tunisia	0
Claus-Jensen	MF	dk Denmark	0
Niclas-Jensen	DF	dk Denmark	0
Jens-Jeremies	MF	de Germany	0
Shao-Jiayi	MF	cn China PR	0
Sun-Jihai	DF	cn China PR	0
Jiang-Jin	GK	cn China PR	0
Choi-Jin-cheul	DF	kr Korea Republic	0
Joaquin	FWMF	es Spain	0
Joseph-Desire-Job	FWMF	cm Cameroon	0
Cobi-Jones	FWMF	us United States	0
Mattias-Jonson	FWMF	se Sweden	0
Rui-Jorge	DF	pt Portugal	0
Juanfran	DF	es Spain	0
Roque-Junior	DF	br Brazil	0
Zhao-Junzhe	MF	cn China PR	0
Martin-Jorgensen	MF	dk Denmark	0
Oliver-Kahn	GK	de Germany	0
Nihat-Kahveci	FW	tr Turkey	0
Kaka	FWMF	br Brazil	0
Raymond-Kalla	DF	cm Cameroon	0
Nwankwo-Kanu	FW	ng Nigeria	0
Amir-Karic	DFMF	si Slovenia	0
Ivan-Kaviedes	FW	ec Ecuador	0
Radoslaw-Kaluzny	MF	pl Poland	0
Sebastian-Kehl	DFMF	de Germany	0
Gary-Kelly	DF	ie Republic of Ireland	0
Tugay-Kerimoglu	MF	tr Turkey	0
Aleksandr-Kerzhakov	FW	ru Russia	0
Abdulaziz-Khathran	DF	sa Saudi Arabia	0
Dmitri-Khokhlov	MF	ru Russia	0
Kevin-Kilbane	DFMF	ie Republic of Ireland	0
Mark-Kinsella	MF	ie Republic of Ireland	0
Jose-Kleberson	MF	br Brazil	0
Aleksander-Knavs	DF	si Slovenia	0
George-Koumantarakis	FW	za South Africa	0
Niko-Kovac	MF	hr Croatia	0
Robert-Kovac	DF	hr Croatia	0
Yuri-Kovtun	DF	ru Russia	0
Marek-Kozminski	DFMF	pl Poland	0
Jacek-Krzynowek	FWMF	pl Poland	0
Cezary-Kucharski	FW	pl Poland	0
Tomasz-Klos	DF	pl Poland	0
Ulises-de-la-Cruz	DF	ec Ecuador	0
Lauren	DF	cm Cameroon	0
Martin-Laursen	DF	dk Denmark	0
Garba-Lawal	MF	ng Nigeria	0
Frank-Leboeuf	DF	fr France	0
Jacob-Lekgetho	DF	za South Africa	0
Alejandro-Lembo	DF	uy Uruguay	0
Eddie-Lewis	MF	us United States	0
Tobias-Linderoth	MF	se Sweden	0
Bixente-Lizarazu	DF	fr France	0
Freddie-Ljungberg	FWMF	se Sweden	0
Carlos-Llamosa	DF	us United States	0
Erick-Lonnis	GK	cr Costa Rica	0
Claudio-Lopez	FW	ar Argentina	0
Wilmer-Lopez	MF	cr Costa Rica	0
Gonzalo-de-los-Santos	MF	uy Uruguay	0
Teddy-Lucic	DF	se Sweden	0
Lucio	DF	br Brazil	0
Jose-Luis-Chilavert	GK	py Paraguay	0
Luizao	FW	br Brazil	0
Braulio-Luna	MF	mx Mexico	0
Albert-Luque	FWMF	es Spain	0
Peter-Lovenkrands	FWMF	dk Denmark	0
Federico-Magallanes	FWMF	uy Uruguay	0
Jabu-Mahlangu	MF	za South Africa	0
Radoslaw-Majdan	GK	pl Poland	0
Claude-Makelele	MF	fr France	0
Paolo-Maldini	DF	it Italy	0
Su-Maozhen	FWMF	cn China PR	0
Marcos	GK	br Brazil	0
Luis-Marin	DF	cr Costa Rica	0
Rafael-Marquez	DFMF	mx Mexico	0
Gilberto-Martinez	DF	cr Costa Rica	0
Pablo-Mastroeni	MF	us United States	0
Marco-Materazzi	DF	it Italy	0
Naoki-Matsuda	DFMF	jp Japan	0
Jason-McAteer	MF	ie Republic of Ireland	0
Hernan-Medford	FWMF	cr Costa Rica	0
Mourad-Melki	MF	tn Tunisia	0
Olof-Mellberg	DFMF	se Sweden	0
Gustavo-Mendez	DFMF	uy Uruguay	0
Sigifredo-Mercado	MF	mx Mexico	0
Christoph-Metzelder	DF	de Germany	0
Imed-Mhedhebi	FWMF	tn Tunisia	0
Johan-Micoud	MF	fr France	0
Zeljko-Milinovic	DF	si Slovenia	0
Danny-Mills	DF	eng England	0
Lee-Min-sung	DF	kr Korea Republic	0
Ma-Mingyu	MF	cn China PR	0
Tsuneyasu-Miyamoto	DF	jp Japan	0
Johan-Mjallby	DFMF	se Sweden	0
Mohamed-Mkacher	DF	tn Tunisia	0
Aaron-Mokoena	DFMF	za South Africa	0
Thabang-Molefe	DF	za South Africa	0
Vincenzo-Montella	FW	it Italy	0
Paolo-Montero	DF	uy Uruguay	0
Joe-Max-Moore	FW	us United States	0
